Template,Parameter,Label
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Took <:NUM:>.<:NUM:> seconds to spawn the instance on the hypervisor.,"['19', '94']",Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Took <:NUM:>.<:NUM:> seconds to build instance.,"['20', '74']",Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Terminating instance,[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Instance <:*:> successfully.,['destroyed'],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Deleting instance files /var/lib/nova/instances/719832a5-1b99-41ab-81a2-4c9bc9c84e39 del,[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Deletion of /var/lib/nova/instances/719832a5-1b99-41ab-81a2-4c9bc9c84e39 del complete,[],Normal
719832a5-1b99-41ab-81a2-4c9bc9c84e39] Took <:NUM:>.<:NUM:> seconds to <:*:> the instance on the hypervisor.,"['1', '02', 'destroy']",Normal
<:*:> Took <:NUM:>.<:NUM:> seconds to deallocate network for instance.,"['719832a5-1b99-41ab-81a2-4c9bc9c84e39]', '0', '47']",Normal
No instances found for any event,[],Normal
"<:*:> Attempting claim: memory <:NUM:> MB, disk <:NUM:> GB, vcpus <:NUM:> CPU","['8713c735-099f-4b1b-b399-5ccc25faf8dc]', '2048', '20', '1']",Normal
<:*:> Total <:*:> <:NUM:> <:*:> used: <:NUM:>.<:NUM:> <:*:>,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', 'memory:', '64172', 'MB,', '512', '00', 'MB']",Normal
"8713c735-099f-4b1b-b399-5ccc25faf8dc] memory limit: <:NUM:>.<:NUM:> MB, free: <:NUM:>.<:NUM:> MB","['96258', '00', '95746', '00']",Normal
"<:*:> <:*:> limit not specified, defaulting to unlimited","['8713c735-099f-4b1b-b399-5ccc25faf8dc]', 'disk']",Normal
<:*:> Claim successful,['8713c735-099f-4b1b-b399-5ccc25faf8dc]'],Normal
<:*:> Creating image,['8713c735-099f-4b1b-b399-5ccc25faf8dc]'],Normal
<:*:> During sync power state the instance has a pending task (spawning). Skip.,['8713c735-099f-4b1b-b399-5ccc25faf8dc]'],Normal
<:*:> Instance <:*:> successfully.,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', 'spawned']",Normal
<:*:> Took <:NUM:>.<:NUM:> seconds to <:*:> the instance on the hypervisor.,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', '19', '77', 'spawn']",Normal
<:*:> Took <:NUM:>.<:NUM:> seconds to build instance.,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', '20', '56']",Normal
<:*:> Terminating instance,['8713c735-099f-4b1b-b399-5ccc25faf8dc]'],Normal
<:*:> Deleting instance files <:*:> del,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', '/var/lib/nova/instances/8713c735-099f-4b1b-b399-5ccc25faf8dc']",Normal
<:*:> Deletion of <:*:> del complete,"['8713c735-099f-4b1b-b399-5ccc25faf8dc]', '/var/lib/nova/instances/8713c735-099f-4b1b-b399-5ccc25faf8dc']",Normal
"<:*:> memory limit: <:NUM:>.<:NUM:> MB, free: <:NUM:>.<:NUM:> MB","['f8540ef4-ff09-422b-bc9b-c14678a98ff7]', '96258', '00', '95746', '00']",Normal
name=cp-<:NUM:>.slowvm1.tcloud-pg0.utah.cloudlab.us phys ram=64172MB used <:*:> phys disk=15GB used <:*:> total vcpus=<:NUM:> used vcpus=<:NUM:> pci stats=[],"['1', 'ram=512MB', 'disk=0GB', '16', '0']",Normal
Disk info file is invalid: qemu-img failed to execute on /var/lib/nova/instances/daf38630-e1ca-42b1-8b71-4df078076a47/disk : Unexpected error while running command.,[],Normal
/usr/bin/python -m oslo concurrency.prlimit --as=<:NUM:> --cpu=<:NUM:> -- env LC ALL=C LANG=C qemu-img info /var/lib/nova/instances/daf38630-e1ca-42b1-8b71-4df078076a47/disk,"['1073741824', '2']",Normal
<:NUM:>,['1'],Normal
u'',[],Normal
"u""qemu-img: Could not open '/var/lib/nova/instances/daf38630-e1ca-42b1-8b71-4df078076a47/disk': Could not open '/var/lib/nova/instances/daf38630-e1ca-42b1-8b71-4df078076a47/disk': No such file or directory\n""",[],Normal
Disk info file is invalid: qemu-img failed to execute on <:*:> : Unexpected error while running command.,['/var/lib/nova/instances/74e32610-53a0-4e61-9125-83f6edc60a90/disk'],Normal
/usr/bin/python -m oslo concurrency.prlimit --as=<:NUM:> --cpu=<:NUM:> -- env LC ALL=C LANG=C qemu-img info <:*:>,"['1073741824', '2', '/var/lib/nova/instances/74e32610-53a0-4e61-9125-83f6edc60a90/disk']",Normal
"u""qemu-img: Could not open <:*:> Could not open <:*:> No such file or directory\n""","[""'/var/lib/nova/instances/74e32610-53a0-4e61-9125-83f6edc60a90/disk':"", ""'/var/lib/nova/instances/74e32610-53a0-4e61-9125-83f6edc60a90/disk':""]",Normal
"db72e531-cdb1-41ce-9e08-4562662d0ed1, exception: Requested operation is not valid: cpu affinity is not supported",[],Normal
<:*:> exception: Requested operation is not valid: cpu affinity is not supported,"['1eb557e2-c5e8-41d1-85c4-2187ef2950f0,']",Normal
<:*:> During sync power state the instance has a pending task <:*:> Skip.,"['5f6f6045-ed54-4279-b84a-ff8b376320c8]', '(networking).']",Normal
"<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML <:NUM:>.<:NUM:>//EN"">","['2', '0']",Normal
Failed to fetch token data from identity server,[],Normal
