Template,Parameter,Label
name=cp-<:NUM:>.slowvm1.tcloud-pg0.utah.cloudlab.us phys ram=64172MB used ram=2560MB phys disk=15GB used disk=20GB total vcpus=<:NUM:> used vcpus=<:NUM:> pci stats=[],"['1', '16', '1']",Anomaly
<:*:> During sync power state the instance has a pending task (spawning). Skip.,['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]'],Anomaly
<:*:> Instance <:*:> successfully.,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', 'spawned']",Anomaly
<:*:> Took <:NUM:>.<:NUM:> seconds to <:*:> the instance on the hypervisor.,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', '20', '35', 'spawn']",Anomaly
<:*:> Took <:NUM:>.<:NUM:> seconds to build instance.,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', '21', '13']",Anomaly
<:*:> Terminating instance,['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]'],Anomaly
<:*:> Deleting instance files <:*:> del,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', '/var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8']",Anomaly
<:*:> Deletion of <:*:> del complete,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', '/var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8']",Anomaly
<:*:> Took <:NUM:>.<:NUM:> seconds to deallocate network for instance.,"['3416d0fa-6f0f-41ce-9c0a-59ae9a735da8]', '0', '54']",Anomaly
"<:*:> Attempting claim: memory <:NUM:> MB, disk <:NUM:> GB, vcpus <:NUM:> CPU","['874ffb7b-49b3-4c6d-a2e9-35bf272650b1]', '2048', '20', '1']",Anomaly
<:*:> Total <:*:> <:NUM:> <:*:> used: <:NUM:>.<:NUM:> <:*:>,"['874ffb7b-49b3-4c6d-a2e9-35bf272650b1]', 'memory:', '64172', 'MB,', '512', '00', 'MB']",Anomaly
"874ffb7b-49b3-4c6d-a2e9-35bf272650b1] memory limit: <:NUM:>.<:NUM:> MB, free: <:NUM:>.<:NUM:> MB","['96258', '00', '95746', '00']",Anomaly
"<:*:> <:*:> limit not specified, defaulting to unlimited","['874ffb7b-49b3-4c6d-a2e9-35bf272650b1]', 'disk']",Anomaly
<:*:> Claim successful,['874ffb7b-49b3-4c6d-a2e9-35bf272650b1]'],Anomaly
"<:*:> memory limit: <:NUM:>.<:NUM:> MB, free: <:NUM:>.<:NUM:> MB","['748f18b4-88e3-4b60-822a-f2b25fac50b2]', '96258', '00', '95746', '00']",Anomaly
name=cp-<:NUM:>.slowvm1.tcloud-pg0.utah.cloudlab.us phys ram=64172MB used <:*:> phys disk=15GB used <:*:> total vcpus=<:NUM:> used vcpus=<:NUM:> pci stats=[],"['1', 'ram=512MB', 'disk=0GB', '16', '0']",Anomaly
"b93203d4-c79b-41fe-<:NUM:>-5f2b89b0d081, exception: Requested operation is not valid: cpu affinity is not supported",['8090'],Anomaly
